,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
0,Aatrox,1,4,God,69.36,3.2,48.94,92.64,7.31,5.43,1.96
1,Ahri,2,2,God,73.72,-5.74,50.04,95.11,9.83,8.59,2.63
2,Akali,0,2,S,58.67,2.63,48.7,68.12,6.26,11.79,2.39
3,Akali TOP,0,4,B,43.83,-0.89,47.58,30.92,2.67,11.79,2.05
4,Akshan,3,2,B,46.91,-0.64,49.5,58.88,2.93,7.6,2.22
5,Akshan TOP,3,4,C,41.96,-1.66,49.88,32.79,1.65,7.6,1.97
6,Alistar,5,3,B,43.0,0.66,49.22,95.98,2.64,0.64,2.46
7,Amumu,5,1,B,46.12,6.63,49.58,84.3,1.99,0.82,2.64
8,Amumu SUPPORT,5,3,D,33.52,-1.69,48.18,13.28,0.25,0.86,2.06
9,Anivia,2,2,A,51.59,-4.62,51.28,81.32,2.83,3.57,2.64
10,Anivia SUPPORT,2,3,D,29.4,-5.21,45.44,12.92,0.38,3.54,2.16
11,Annie,2,2,B,44.82,1.56,50.58,82.59,1.62,0.68,2.36
12,Annie SUPPORT,2,3,D,29.45,-8.04,46.02,10.57,0.2,0.73,2.03
13,Aphelios,3,0,D,32.6,1.84,46.64,96.92,5.11,0.9,1.99
14,Ashe,3,3,A,54.47,15.88,49.33,47.59,6.82,3.69,2.48
15,Ashe ADC,3,0,A,48.91,-4.7,49.97,49.42,7.29,3.69,2.41
16,Aurelion Sol,2,2,B,43.28,1.43,50.5,87.19,0.94,0.34,2.51
17,Azir,2,2,B,43.53,0.23,47.54,88.1,3.42,0.85,2.1
18,Bard,4,3,A,49.17,-2.22,50.12,94.91,3.67,0.62,2.98
19,Bel'Veth,1,1,God,94.93,0.0,52.85,89.76,19.56,48.2,2.38
20,Blitzcrank,5,3,A,53.79,-4.21,49.53,98.22,5.8,13.42,2.42
21,Brand,2,3,B,44.23,-4.1,49.41,67.65,3.65,5.39,1.83
22,Brand MID,2,2,C,41.83,-5.71,50.68,22.09,1.01,5.39,2.06
23,Braum,4,3,B,42.98,-4.81,49.22,97.99,2.11,0.34,2.83
24,Caitlyn,3,0,A,49.24,4.14,47.5,96.46,9.4,5.44,2.17
25,Camille,1,4,S,58.2,-5.64,50.51,94.61,4.67,2.88,1.97
26,Cassiopeia,2,2,B,47.44,1.64,51.4,75.43,2.26,1.75,2.15
27,Cassiopeia TOP,2,4,D,35.48,2.33,50.28,14.67,0.45,1.75,1.86
28,Cho'Gath,5,4,B,44.27,1.01,49.98,65.72,2.08,0.77,2.07
29,Cho'Gath MID,5,2,C,41.94,1.84,51.07,18.98,0.52,0.82,2.29
30,Corki,3,2,B,43.44,1.19,49.52,92.08,1.9,0.28,2.31
31,Darius,1,4,God,91.39,-1.55,50.9,93.18,9.21,19.26,1.91
32,Diana,1,1,S,59.7,-7.0,52.2,82.57,8.81,6.96,2.58
33,Diana MID,1,2,B,45.3,-0.09,50.9,15.74,1.71,6.96,2.2
34,Dr. Mundo,3,4,S,57.55,7.29,52.85,86.48,3.26,1.93,2.28
35,Draven,1,0,A,48.22,7.28,51.04,94.09,6.3,10.65,2.16
36,Ekko,0,1,A,52.76,-2.1,51.35,60.78,4.07,2.4,2.85
37,Ekko MID,0,2,B,47.57,4.37,50.7,36.6,2.39,2.4,2.35
38,Elise,2,1,C,40.42,10.76,47.02,90.53,1.4,0.61,2.51
39,Evelynn,0,1,C,42.27,5.33,46.5,98.12,2.52,3.77,2.81
40,Ezreal,3,0,God,85.75,-4.46,48.86,95.33,20.31,4.81,2.45
41,Fiddlesticks,2,1,B,45.68,0.39,49.3,85.82,2.15,1.21,2.6
42,Fiora,1,4,God,90.27,2.38,52.0,97.43,8.29,21.55,1.85
43,Fizz,0,2,A,48.39,-2.63,49.52,95.13,3.06,4.66,2.48
44,Galio,5,2,B,46.03,-2.55,49.82,78.48,2.07,0.34,2.61
45,Galio SUPPORT,5,3,C,38.58,1.8,49.96,18.49,0.46,0.34,2.42
46,Gangplank,1,4,God,76.32,-12.54,47.96,79.13,8.2,12.43,2.05
47,Gangplank MID,1,2,C,41.06,0.4,47.57,19.73,2.19,12.43,2.19
48,Garen,1,4,S,64.73,-5.17,50.79,85.02,5.76,2.6,2.05
